0.500000 -102.952960 -103.057959
0.600000 -105.933038 -106.057579
0.700000 -107.495568 -107.643249
0.800000 -108.295346 -108.465012
0.900000 -108.679217 -108.870438
1.000000 -108.835097 -109.048742
1.100000 -108.867473 -109.105374
1.200000 -108.835618 -109.100089
1.300000 -108.773320 -109.066721
1.400000 -108.699461 -109.023970
1.500000 -108.623969 -108.981591
1.600000 -108.551439 -108.944163
1.700000 -108.483558 -108.913492
1.800000 -108.420690 -108.889963
1.900000 -108.362736 -108.873064
2.000000 -108.309499 -108.861627
2.100000 -108.260777 -108.854210
2.200000 -108.216359 -108.849506
2.300000 -108.176001 -108.846529
2.400000 -108.139424 -108.844621
2.500000 -108.106323 -108.843369
3.000000 -107.982503 -108.840956
3.500000 -107.906222 -108.840112
4.000000 -107.858235 -108.839989
4.500000 -107.827445 -108.839911
5.000000 -107.806570 -108.839890
6.000000 -107.778861 -108.839883
