0.500000 -102.952960 -103.044676 -103.057817
0.600000 -105.933038 -106.045336 -106.057337
0.700000 -107.495568 -107.632155 -107.642848
0.800000 -108.295346 -108.455449 -108.464390
0.900000 -108.679217 -108.863110 -108.869520
1.000000 -108.835097 -109.044865 -109.047429
1.100000 -108.867473 -109.106905 -109.103527
1.200000 -108.835618 -109.109854 -109.097526
1.300000 -108.773320 -109.088357 -109.063246
1.400000 -108.699461 -109.061665 -109.019487
1.500000 -108.623969 -109.039733 -108.976392
1.600000 -108.551439 -109.027029 -108.939605
1.700000 -108.483559 -109.025081 -108.913511
1.800000 -108.420690 -109.034083 -108.904212
1.900000 -108.362736 -109.053743 -108.921545
2.000000 -108.309499 -109.083617 -108.972195
3.000000 -107.982503 -109.817649
4.000000 -107.858235 -110.974601
